word,part_of_speech,meaning,example,example_meaning,definition,ID
dysfunction,verb,rối loạn chức năng,"Once upon a time, the world was a big, dysfunctional family.","Ngày xửa ngày xưa, thế giới là 1 gia đình lớn, hỗn loạn.","A failure to function in an expected or complete manner. Usually refers to a disorder in a bodily organ (e.g. erectile dysfunction), a mental disorder, or the improper behavior of a social group.",10983
opt,verb,chọn,"However, once a buyer has opted out of disclosing their bid data, this information is excluded for all publishers they transact on.","Tuy nhiên, khi người mua đã chọn không tham gia tiết lộ dữ liệu giá thầu, thông tin này bị loại trừ cho tất cả các nhà xuất bản mà họ giao dịch.",(intransitive) To choose; to select.,10984
quantify,verb,định lượng,"The quantified -self movement—“Counting Every Moment,” The Economist, March 3, 2012.","Phong trào tự định lượng - “Counting Every Moment”, The Economist, March 3, 2012.",To assign a quantity to.,10985
courtyard,noun,sân,"The site that de Vaux uncovered divides into two main sections: a main building, a squarish structure of two stories featuring a central courtyard and a defensive tower on its north-western corner; and a secondary building to the west.","Nơi mà de Vaux phát hiện ra chia thành hai phần chính: một ""tòa nhà chính"", tức một cấu trúc vuông có 2 tầng, có một sân trung tâm cùng một tháp phòng thủ ở góc tây bắc, và ""một tòa nhà phụ"" ở phía tây.","an area, open to the sky, partially or wholly surrounded by walls or buildings",10986
therapist,noun,nhà trị liệu,I'm a trained therapist .,Chụy là nhà trị liệu được đào tạo đấy.,"Someone who provides therapy, usually professionally.",10987
elfin,adjective,elf,"My elfin soul feels, that it is far, far away...","Theo dự cảm loài Elf , ta thấy nó xa, xa thật xa...","Relating to or resembling an elf, especially in its tiny size or features.",10989
lummox,noun,lummox,"Chicken pies, you great lummox !","Bánh nhân thịt gà, đồ bò !","(informal) A clumsy, stupid person; an awkward bungler.",10990
incomparable,adjective,vô song,Treasure more completely His incomparable life and teachings.,Hãy trân quý trọn vẹn hơn cuộc đời và những điều giảng dạy vô song của Ngài.,So much better than another as to be beyond comparison; matchless or unsurpassed.,10991
incontestable,adjective,không thể chối cãi,Why can it be said that Jesus holds incontestable title to kingship?,Tại sao có thể nói Chúa Giê-su có quyền chính đáng để nối ngôi?,Not contestable; indisputable; certain; incontrovertible.,10992
hearken,Verb,lắng nghe,"17 Hearken ye, for, behold, the agreat bday of the Lord is nigh at hand.","17 Các ngươi hãy lắng nghe , vì này, angày btrọng đại của Chúa đã gần kề.","(intransitive) To listen; to lend the ear; to attend or give heed to what is uttered; to hear with attention, obedience, or compliance.",10993
incivility,noun,cử chỉ khiếm nhã,Was this not some excuse for incivility if I was uncivil?,"Đây có phải là biện minh cho thái độ bất lịch sự không, nếu tôi đã bất lịch sự ?",The quality or state of being uncivil; want of courtesy; rudeness of manner; impoliteness.,10994
turquoise,adjective,màu ngọc lam,The most amazing region that's been found yet is this one right here in turquoise .,Vùng tuyệt nhất đã được khám phá chính là nơi mang màu ngọc lam đây.,"A sky-blue, greenish-blue, or greenish-gray semi-precious gemstone.",10995
crouch,verb,núp,There are worse things crouching in the shadows than Riario.,Có những lúc núp trong bóng tối tệ hơn là Riario.,(obsolete) A cross.,10996
cling,verb,bám vào,What a powerful reason to cling to the true God!,Quả là lý do mạnh mẽ để bám vào Đức Chúa Trời thật!,Fruit (especially peach) whose flesh adheres strongly to the pit.,10997
perplexity,noun,rắc rối,"The result is a society fragmented, confused, and perplexed . —2 Timothy 3:1-5.","Bởi vậy, xã hội phân rẽ, lộn xộn, và đầy rắc rối .—2 Ti-mô-thê 3:1-5.",The state or quality of being perplexed; puzzled or confused.,10998
summons,verb,giấy triệu tập,Each parliamentary session begins with the monarch's summons .,Mỗi phiên họp được bắt đầu bằng giấy triệu tập của quân vương.,"A call to do something, especially to come.",10999
incorporation,noun,liên đoàn,In June 2008 JAniCA was legally incorporated as an Unlimited liability company intermediary corporation to further continue improving the work conditions in the Japanese animation industry.,"Tháng 6 năm 2008, nghiệp đoàn đã sáp nhập một cách hợp pháp với tư cách là "" Liên đoàn trung gian - công ty trách nhiệm không hữu hạn"" (Unlimited liability company intermediary corporation) để tiếp tục thúc đẩy về cải thiện môi trường làm việc trong công nghiệp anime Nhật Bản.","The act of incorporating, or the state of being incorporated.",11000
rationalize,verb,biện minh,He rationalized this by saying that everyone would win.,Ông biện minh cho điều này bằng cách nói rằng cả hai bên đều có lợi.,(American) Alternative spelling of rationalise.,11001
guzzle,verb,ăn uống tham lam,You've guzzled enough.,Tham uống đủ rồi.,"To drink (or, sometimes, eat) quickly, voraciously, or to excess; to gulp down; to swallow greedily, continually, or with gust; said especially of alcohol consumption.",11002
perforate,adjective,đục lỗ,Goldstein used a gas discharge tube which had a perforated cathode.,Goldstein đã sử dụng một ống đã rút khí có một cathode đục lỗ .,(philately) Perforated.,11003
ostracism,noun,sự tẩy chay,Meaning “Bringer of Disaster; Bringer of Ostracism .”,Nghĩa là “kẻ mang đến tai họa; kẻ mang đến sự tẩy chay ”.,The act of banishing or excluding someone,11004
matriculate,verb,tuyển vào đại học,Ryti was the only one of seven sons to pass the university entrance examination; however his three sisters also matriculated .,Ryti là người duy nhất có bảy người con vượt qua kỳ thi tuyển sinh đại học; Tuy nhiên ba chị em của ông cũng đã được tuyển vào đại học . ^ “Ministerikortisto”.,"(transitive) To enroll as a member of a body, especially of a college or university",11005
mechanize,verb,cơ giới hoá,"In the 20th century, mechanization of agriculture reduced the need for farm workers.","Trong thế kỷ 20, cơ giới hoá nông nghiệp đã làm giảm nhu cầu về lao động nông nghiệp.",To equip something with machinery.,11006
dock,verb,cắt bớt,Dock your allowance?,Cắt bớt tiền sinh hoạt của chị sao?,"Any of the genus Rumex of coarse weedy plants with small green flowers related to buckwheat, especially the common dock, and used as potherbs and in folk medicine, especially in curing nettle rash.",11007
scab,verb,vảy,My skin is full of scabs and pus.,Da tôi chỉ toàn vảy và mủ.,"An incrustation over a sore, wound, vesicle, or pustule, formed during healing.",11008
strikebreaker,noun,phá công,"Strikebreakers (called ""scabs"") were threatened and sometimes attacked.","Strikebreakers (gọi là ""scabs"") đã bị đe dọa và đôi khi bị tấn công.",A non-unionized worker hired to replace a striking union worker.,11009
last resort,noun,phương kế sau cùng,"Or worse , get your card canceled in a time when you might need it as a last resort .","Hay tệ hơn , để thẻ bị huỷ trong lúc mà bạn có thể cần nó như là phương kế sau cùng .","(idiomatic) The only remaining, unwanted, option or choice.",11010
fraternal,noun,anh em,"A fraternity , now, that's a brotherhood of men who forge a lifetime bond.",đó là một tình anh em của những người có gắn bó máu thịt suốt đời.,Of brothers (fraternal twins),11011
martyrdom,noun,nỗi thống khổ,"So I made a group of work that at once faced my own personal questions in life, and yet it brought my work into a larger discourse -- the subject of martyrdom , the question of those who willingly stand in that intersection of love of God, faith, but violence and crime and cruelty.","Vì thế tôi đã tiến hành một vài công việc mà ngay lập tức trả lời một số câu hỏi của tôi về cuộc sống, và đã đưa công trình của tôi đến một tranh luận lớn hơn về chủ đề: nỗi thống khổ , câu hỏi của những ai sẵn sàng đứng ở ngã giao của tình yêu dành cho Chúa, niềm tin, và bạo lực, tội ác và sự hung tàn.","The condition of a martyr; the death of a martyr; the suffering of death on account of adherence to the Christian faith, or to any cause.",11012
rattling,adjective,huyên náo,( Rattling ),(Tiếng gậy lắc),"lively, quick (speech, pace)",11013
reliance,noun,sự tin cậy,How do we show such reliance ?,Làm thế nào chúng ta bày tỏ sự tin cậy ấy?,The act of relying on someone or something; trust.,11014
fixation,noun,sự cố định,"How does that conversion, or fixation , occur?",Sự chuyển đổi đó hay sự cố định nitơ xuất hiện như thế nào?,"The act of fixing, or the state of being fixed or fixated.",11015
